Barrie’s Backline 2025 - Touring Company List,,,
,,,
Drum Kits,Costs +GST,Guitar Amps,
,,,
"DW Performer (Black) KD22 FT16 RT12,10 & 14 snare (2015)",$250,Fender Twin ’68 reissue Silverface 2 x 12”,$100
,,,
DW Performer (Chrome Shadow) KD22 FT16 RT12 & 14 snare (2023),$250,Fender Twin ’68 reissue Silverface 2 x 12”,$100
,,,
"Tama Star Classic (Black Sparkle) KD22,FT16,RT12,10 & 14 snare (2012)",$250,Fender Twin Blackface Pro Tube Series 2005 (2 ch with Master & Gain) 2x12” ,$100
,,,
"Ludwig Black Oyster  KD20 FT14,RT12,10 & 14 snare (2006)",$250,Fender Reverb Deluxe - 22 watt 12” ,$100
,,,
,,Fender Reverb Deluxe - SuperSonic 22,$100
,,,
Roland Electronic Drum Kit TD4 K2,$200,Fender Princeton ’65 - 12w / 12” Canabis Rex ,$100
,,,
"Kits Comes with Coated Heads in good condition, New spec’d heads can be supplied at 50% rrp",$0-150,Fender Princeton ’65 - 12w / 12” Jenson,$100
,,,
Cymbals:,,Fender Hot Rod Deluxe III (40w / 1 x 12”),$85
,,,
"Paiste ‘502 Plus’ Crash, Ride & HH - Entry",$50,Fender Hot Rod Deluxe IV (40w / 1 x 12”),$75
,,,
"Paiste ‘PST8’ 16” Crash,16” Ride,10” Splash & 14” HH - Intermediate",$75,Fender Hot Rod Deluxe III 1x12” cab,$25
,,,
"Zildjiam Custom 20” Med Ride, 18” fast Crash, 16” fast Crash, 20” Trash China 14” Dark HH  - Professional ",$125,Fender Blues Junior IV (15w / Black),$85
,,,
,,Fender Blues Junior IV (15w / Tweed),$85
,,,
"Drum Hardware:Cymbal, HH stds,Thrones, Kick Pedals Mats as req.",,Fender Hot Rod Deville 4x10 ,$100
,,,
"Snares: Ludwig, Tama StarClassic, Tama SuperStar, & DW",$50-$75,Fender Hot Rod Deville 2 x12 ,$100
,,,
Congas Meinl Headliner 10” & 11” ,$150,"Vox AC30 CC2, (2x12”, Alnico’s Blue speakers)",$100
,,,
Bongos Meinl Headliner ,$75,"Vox AC30 CC2, (2x12” Greenback speakers)",$100
,,,
Tamborines,$25,Vox AC15 H (Hand wired / 12” Greenback),$100
,,,
"Various Percussion Block, Cow bells etc",$10-20,Vox AC30 Head,$75
,,,
Bass Heads,,Vox 2 x 12” Cab Celestion Drivers,$25
,,,
Ampeg SVT Classic,$100,Vox AC15R Practice amp (8”),$25
,,,
Ampeg SVT Pro 3,$75,Vox AC15R Practice amp (8”),$25
,,,
Ampeg SVT T200 Classic,$50,Marshall JCM 800 (100w Tube),$100
,,,
Ampeg SVT Pro 7 ,$75,"Marshall JCM 900 (50w, Tube)",$100
,,,
Ashdown MAG 300 (note: with 4x10 combo format),$75,Marshall 1960A 4 x 12” cabinet,$50
,,,
Ashdown MAG 300,$50,Marshall 1960B 4 x 12” cabinet,$50
,,,
Ashdown AGM 600,$75,"Epiphone Blues Custom (2 x 12”, Tube)",$50
,,,
T 60 Vox Bass/kybd (1 x 12” combo),$50,100w Peavey Keyboard Amp 3 channel (15”+HF),$50
,,,
Aguila AG700,$90,Roland KC550 Kybd amp Stereo /4 ch (15” / HF),$100
,,,
Aguila Tone Hammer 700,$90,Roland JC120 (2 x 12’ Combo),$100
,,,
Bass Cabinets,,Roland AC60 Acoustic Instr Amp (60w / 3 inputs),$80
,,,
Ampeg 8 x 10 Classic,$75,,
,,,
Ampeg 6 x 10 Classic,$75,Keyboards,
,,,
Ampeg 4 x 10 Classic,$60,Casio PS5 Stage Piano/Synth 88 weighted keys,$75
,,,
Ampeg 4 x 10 Classic,$60,Edirol Midi 49 key controller ,$20
,,,
Ampeg 1 x15 Classic,$50,Alesis V61 Midi 61 key Controller,$30
,,,
Ashdown 4 x 10,$50,Nord Stage 3 Compact,$200
,,,
Ashdown 4 x 10 combo,$50,Nord Stage 2 Stage Piano 88 keys weighted,$250
,,,
Ashdown 1 x 15,$50,Roland RD88 Stage Piano ,$125
,,,
Various Single & Double Keyboard stands as needed,$10-20,Rhodes Stage Piano,$250
,,,
Guitar Stands: Variety of models for most instruments available,$5,Nord Electro 6,$125
,,,
,,Yamaha MOFX8,$125
,,,
Guitars,,Backline Workshop is Central Wgtn,
,,,
Epiphone Casino (Semi Acoustic Electric F hole Black 2000),100,Deliver /collection to be quoted,
,,,
Epiphone Casino ((Semi Acoustic Electric F hole Black Sunburst 2000),100,Bass Guitars,
,,,
Gretch Country Gentleman (Japan / Reissue George Harrison 2020),150,Fender Jazz Squire  5 string (Japan 1990),100
,,,
Fender Squire Stratocaster (Black - Japan 1988),150,Fender Jazz 4 string (American 1973),125
,,,
Fender Telecaster (Blond  - American 1983),150,Ovation Typhoon 4 string (American 1968),125
,,,
K Yari Acoustic (Japan  / with pickup Thinline 1990),100,Beatles Bass (Hofner Copy) ,75
,,,
Martin Acoustic D13 (with pickup & tuner Dreadnought 2022),150,,
,,,
Cort Travel Acoustic Guitar ,75,Various High Stools,$40.00
,,,
Yamaha Nylon String (Japan 1975),50,Persian Style Carpets 3x2m (7 available),$60.00
